2020-05-04T00:16:21.304218	Start the scrapper for instagram.
2020-05-04T00:16:31.777175	Open instagram
2020-05-04T00:16:52.636155	Login instagram
2020-05-04T00:16:52.915994	Waiting for login
2020-05-04T00:17:05.050001	Remove notification dialog
2020-05-04T00:17:09.120657	End the scrapper for instagram. See you later.
2020-05-04T20:53:19.060489	Start the scrapper for instagram.
2020-05-04T20:53:22.864614	Open instagram
2020-05-04T20:53:40.378112	Login instagram
2020-05-04T20:53:40.551013	Waiting for login
2020-05-04T20:53:55.242854	Remove notification dialog
2020-05-04T20:53:56.438164	End the scrapper for instagram. See you later.
